BAUM_CODE,PLOTID,BAUMNR,ZWIESELNR,Code,Northing,Easting,Elevation,BAUMART20,BHD20,hKA20,hBAUM20,KRAFT20,SCHIRM20,VITALITAET,S1_Verletz,S2_WKB20,S3_TRO20,S4_FAEULE2,S5_PILZKON,S6_PILZson,S7_SCHAELU,S8_BORKK20,S9_SONSTIG,S10_ETS20,S11_UL_Ste,S12_RUSS20,BEMERKUNG2,BEMERKUNG3,BEMERKUNG4,ca,cl
P81.B1.0,81,1,0,BAUM,5687974.38749044,315430.037185028,108.802172550593,Ulm_spe,16.9,2.40000009536743,13.8000001907349,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,1 = leicht,1 = leicht,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,14.325409951775042,2
P81.B3.0,81,3,0,BAUM,5687979.17891676,315424.165884224,108.633819323247,Car_bet,6.5,1.79999995231628,10.1000003814697,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,1 = leicht,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,12.4066798492454,2
P81.B4.0,81,4,0,BAUM,5687980.67104193,315421.351500646,108.614519518012,Ulm_spe,7.8,1.79999995231628,8,5 = ganz unterstaendig,1 = ja,2 = normal,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,1 = leicht,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,8.94902818303147,2
P81.B6.0,81,6,0,BAUM,5687973.28434871,315412.596771832,108.619305092772,Car_bet,35.6,8.5,21.2999992370605,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,1 = leicht,1 = leicht,1 = leicht,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,62.166374801873914,2
P81.B7.0,81,7,0,BAUM,5687973.82115054,315414.603530631,108.607870609671,Car_bet,28.6,10,22.7000007629395,3 = mitherrschend,3 = teilweise,2 = normal,1 = leicht,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,48.14672820316765,2
P81.B8.0,81,8,0,BAUM,5687971.40684527,315415.221962182,108.601783318486,Car_bet,26.4,6.80000019073486,18.7000007629395,4 = beherrscht/unterdrueckt,1 = ja,3 = kuemmernd,1 = leicht,1 = leicht,1 = leicht,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,Bogenlampe,NA,NA,43.96287407134232,2
P81.B9.0,81,9,0,BAUM,5687970.90706366,315413.383216263,108.626470214703,Car_bet,23.6,9.39999961853027,17.5,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,1 = leicht,1 = leicht,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,38.81771849646004,2
P81.B12.0,81,12,0,BAUM,5687970.79676996,315427.251456256,108.590293878419,Til_cor,7.6,2.5,5.40000009536743,5 = ganz unterstaendig,1 = ja,2 = normal,1 = leicht,0 = kein Schaden,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,8.854693148117944,2
P81.B14.0,81,14,0,BAUM,5687967.84945106,315421.876655057,108.596008096259,Til_cor,7.8,2,8,5 = ganz unterstaendig,1 = ja,2 = normal,1 = leicht,0 = kein Schaden,1 = leicht,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,8.94902818303147,2
P81.B15.0,81,15,0,BAUM,5687964.5857272,315421.144338395,108.711972287214,Que_rob,111.6,15.8000001907349,38.9000015258789,2 = herrschend,2 = nein,2 = normal,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,1 = vereinzelte Einbohrversuche,0 = kein Schaden,NA,NA,NA,NA,NA,NA,219.15510268946036,1
