"","Tree_ID","PLOTID","DBH24","SP","Status","H24","Wood_Density","a","b","c","Carbon_Above","Carbon_Below","Carbon_Total"
"1","P81.B1.0",81,16.9,"Ulm_spe","Dead",13.80000019,0.508,1.94295,1.29229,-4.20064,25.8478022708466,7.75434068125398,33.6021429521006
"2","P81.B2.0",81,7.9,"Ulm_spe","Alive",5.5,0.508,1.94295,1.29229,-4.20064,1.796613483789,0.538984045136699,2.33559752892569
"3","P81.B3.0",81,9.5,"Car_bet","Alive",10.10000038,0.706,0.00021491,2.258957614,0.001411006,61.7227013085701,18.516810392571,80.2395117011411
"4","P81.B4.0",81,11.8,"Ulm_spe","Alive",8,0.508,1.94295,1.29229,-4.20064,6.35790600656546,1.90737180196964,8.2652778085351
"5","P81.B5.0",81,49.7,"Car_bet","Alive",26.20000076,0.706,0.00021491,2.258957614,0.001411006,531.817280013319,159.545184003996,691.362464017315
"6","P81.B6.0",81,35.8,"Car_bet","Alive",21.29999924,0.706,0.00021491,2.258957614,0.001411006,333.121359762968,99.9364079288905,433.057767691859
"7","P81.B7.0",81,29.6,"Car_bet","Alive",22.70000076,0.706,0.00021491,2.258957614,0.001411006,384.624118696826,115.387235609048,500.011354305874
"8","P81.B8.0",81,27.5,"Car_bet","Alive",18.70000076,0.706,0.00021491,2.258957614,0.001411006,248.233847601252,74.4701542803757,322.704001881628
"9","P81.B9.0",81,24.7,"Car_bet","Alive",17.5,0.706,0.00021491,2.258957614,0.001411006,213.690354818205,64.1071064454615,277.797461263666
"10","P81.B10.0",81,6.5,"Til_spe","Alive",6,0.422,1.94295,1.29229,-4.20064,1.14325371707704,0.342976115123113,1.48622983220016
"11","P81.B11.0",81,7.9,"Car_bet","Alive",7.599999905,0.706,0.00021491,2.258957614,0.001411006,32.4660025688642,9.73980077065927,42.2058033395235
"12","P81.B12.0",81,11.5,"Til_spe","Alive",5.400000095,0.422,1.94295,1.29229,-4.20064,3.02303758759028,0.906911276277083,3.92994886386736
"13","P81.B13.0",81,10.6,"Til_spe","Alive",8.199999809,0.422,1.94295,1.29229,-4.20064,4.4271685595474,1.32815056786422,5.75531912741162
"14","P81.B14.0",81,9.9,"Til_spe","Alive",8,0.422,1.94295,1.29229,-4.20064,3.75507916315641,1.12652374894692,4.88160291210334
"15","P81.B15.0",81,112,"Que_rob","Alive",38.90000153,0.56,2.00333,0.85925,-2.86353,4447.28291573094,1334.18487471928,5781.46779045022
