"Year","DBH","Height","Carbon_Above","Carbon_Below","Carbon_Total","Tree_ID"
0,7.9,7.01296202145624,2.45946919523453,0.73784075857036,3.19730995380489,"P81.B2.0"
5,13.925,9.00136916168246,10.2147352568998,3.06442057706994,13.2791558339697,"P81.B2.0"
10,19.95,10.5456323055177,25.2044588591412,7.56133765774235,32.7657965168835,"P81.B2.0"
15,25.975,11.8452858993676,48.9091022429482,14.6727306728844,63.5818329158326,"P81.B2.0"
20,32,12.9849822938767,82.5975347888834,24.779260436665,107.376795225548,"P81.B2.0"
25,38.025,14.0098720388792,127.399494797954,38.2198484393861,165.61934323734,"P81.B2.0"
30,44.05,14.9473455481625,184.343961787439,55.3031885362316,239.64715032367,"P81.B2.0"
35,50.075,15.8154718802695,254.382490697663,76.3147472092988,330.697237906961,"P81.B2.0"
40,56.1,16.6268989005052,338.404685160833,101.52140554825,439.926090709083,"P81.B2.0"
45,62.125,17.3908805590184,437.249093483492,131.174728045048,568.42382152854,"P81.B2.0"
50,68.15,18.11442446503,551.711229564943,165.513368869483,717.224598434425,"P81.B2.0"
55,74.175,18.8029851399915,682.54968292392,204.764904877176,887.314587801096,"P81.B2.0"
60,80.2,19.4609048922755,830.490901597498,249.147270479249,1079.63817207675,"P81.B2.0"
65,86.225,20.091706125946,996.233020289194,298.869906086758,1295.10292637595,"P81.B2.0"
70,92.25,20.6982919581168,1180.44898151017,354.134694453051,1534.58367596322,"P81.B2.0"
75,98.275,21.2830879734139,1383.78912036003,415.136736108008,1798.92585646803,"P81.B2.0"
80,104.3,21.8481449096478,1606.88333396614,482.065000189842,2088.94833415598,"P81.B2.0"
85,110.325,22.3952146603613,1850.34292356544,555.102877069632,2405.44580063507,"P81.B2.0"
90,116.35,22.9258075955361,2114.76217458228,634.428652374683,2749.19082695696,"P81.B2.0"
95,122.375,23.4412365149308,2400.7197241634,720.215917249021,3120.93564141243,"P81.B2.0"
100,128.4,23.9426508511179,2708.77975422495,812.633926267484,3521.41368049243,"P81.B2.0"
0,9.5,7.6717954053227,33.164260468116,9.9492781404348,43.1135386085508,"P81.B3.0"
5,11.2132352941177,8.82339791372842,45.4875228495695,13.6462568548709,59.1337797044404,"P81.B3.0"
10,12.9264705882353,9.94767857749601,59.6438061443083,17.8931418432925,77.5369479876008,"P81.B3.0"
15,14.639705882353,11.0488082754088,75.6085983525213,22.6825795057564,98.2911778582777,"P81.B3.0"
20,16.3529411764706,12.1299068656787,93.3607304742432,28.0082191422729,121.368949616516,"P81.B3.0"
25,18.0661764705882,13.1933908687857,112.881598326233,33.86447949787,146.746077824103,"P81.B3.0"
30,19.7794117647059,14.2411838764049,134.154625811662,40.2463877434987,174.401013555161,"P81.B3.0"
35,21.4926470588235,15.2748511622924,157.164879366883,47.1494638100649,204.314343176948,"P81.B3.0"
40,23.2058823529412,16.2956896984728,181.898781856948,54.5696345570843,236.468416414032,"P81.B3.0"
45,24.9191176470588,17.3047905657897,208.343894545098,62.5031683635295,270.847062908628,"P81.B3.0"
50,26.6323529411765,18.3030835469267,236.48874721038,70.9466241631139,307.435371373494,"P81.B3.0"
55,28.3455882352941,19.291369810551,266.322703267609,79.8968109802828,346.219514247892,"P81.B3.0"
60,30.0588235294118,20.2703463959477,297.83585093448,89.3507552803441,387.186606214825,"P81.B3.0"
65,31.7720588235294,21.2406249059954,331.01891417592,99.3056742527761,430.324588428696,"P81.B3.0"
70,33.4852941176471,22.2027460172535,365.86317893072,109.758953679216,475.622132609937,"P81.B3.0"
75,35.1985294117647,23.1571909094694,402.360431330564,120.708129399169,523.068560729734,"P81.B3.0"
80,36.9117647058824,24.1043903867289,440.502905459256,132.150871637777,572.653777097033,"P81.B3.0"
85,38.625,25.0447322420031,480.283238794502,144.084971638351,624.368210432852,"P81.B3.0"
90,40.3382352941177,25.9785672663118,521.694433904437,156.508330171331,678.202764075768,"P81.B3.0"
95,42.0514705882353,26.9062141989271,564.729825287066,169.41894758612,734.148772873185,"P81.B3.0"
100,43.764705882353,27.8279638407671,609.383050476566,182.81491514297,792.197965619535,"P81.B3.0"
0,11.8,8.36834477011126,6.73872644377576,2.02161793313273,8.76034437690849,"P81.B4.0"
5,17.825,10.0353435208954,18.9934886914795,5.69804660744386,24.6915352989234,"P81.B4.0"
10,23.85,11.4083272397329,39.4707366685154,11.8412210005546,51.31195766907,"P81.B4.0"
15,29.875,12.5979408596824,69.5028213422818,20.8508464026845,90.3536677449664,"P81.B4.0"
20,35.9,13.6595320320564,110.263027720696,33.0789083162087,143.341936036904,"P81.B4.0"
25,41.925,14.6254050220356,162.812648872656,48.8437946617968,211.656443534453,"P81.B4.0"
30,47.95,15.5163225224349,228.128469378396,68.4385408135187,296.567010191915,"P81.B4.0"
35,53.975,16.3465467170954,307.120510074339,92.1361530223018,399.256663096641,"P81.B4.0"
40,60,17.1263647116352,400.64428838626,120.193286515878,520.837574902138,"P81.B4.0"
45,66.025,17.8634795860867,509.509715678734,152.85291470362,662.362630382354,"P81.B4.0"
50,72.05,18.5638331789008,634.487799816364,190.346339944909,824.834139761274,"P81.B4.0"
55,78.075,19.2321205949644,776.315845143017,232.894753542905,1009.21059868592,"P81.B4.0"
60,84.1,19.8721266671843,935.701583956277,280.710475186883,1216.41205914316,"P81.B4.0"
65,90.125,20.4869542394478,1113.32652428866,333.997957286597,1447.32448157525,"P81.B4.0"
70,96.15,21.0791839074469,1309.84870792555,392.954612377665,1702.80332030321,"P81.B4.0"
75,102.175,21.6509887710776,1525.90501485851,457.771504457554,1983.67651931607,"P81.B4.0"
80,108.2,22.2042187546102,1762.11311237162,528.633933711487,2290.74704608311,"P81.B4.0"
85,114.225,22.7404637977016,2019.07312117635,605.721936352905,2624.79505752926,"P81.B4.0"
90,120.25,23.2611020387113,2297.3690530551,689.21071591653,2986.57976897163,"P81.B4.0"
95,126.275,23.767337122363,2597.57006168149,779.271018504448,3376.84108018594,"P81.B4.0"
100,132.3,24.2602274844928,2920.23153898722,876.069461696165,3796.30100068338,"P81.B4.0"
0,49.7,30.9792181058836,776.506090084675,232.951827025402,1009.45791711008,"P81.B5.0"
5,51.4132352941177,31.877604778131,828.311148846442,248.493344653933,1076.80449350037,"P81.B5.0"
10,53.1264705882353,32.7713178831031,881.703646964699,264.51109408941,1146.21474105411,"P81.B5.0"
15,54.839705882353,33.6605313426073,936.678682356738,281.003604707021,1217.68228706376,"P81.B5.0"
20,56.5529411764706,34.5454073841267,993.231523024552,297.969456907366,1291.20097993192,"P81.B5.0"
25,58.2661764705883,35.4260976571169,1051.35759610545,315.407278831635,1366.76487493709,"P81.B5.0"
30,59.9794117647059,36.3027442130878,1111.05247793329,333.315743379986,1444.36822131327,"P81.B5.0"
35,61.6926470588236,37.1754803695055,1172.31188499039,351.693565497118,1524.00545048751,"P81.B5.0"
40,63.4058823529412,38.0444314741273,1235.13166564761,370.539499694283,1605.67116534189,"P81.B5.0"
45,65.1191176470589,38.909715583624,1299.507792604,389.852337781201,1689.3601303852,"P81.B5.0"
50,66.8323529411765,39.7714440681017,1365.43635594993,409.630906784979,1775.06726273491,"P81.B5.0"
55,68.5455882352942,40.6297221513047,1432.91355678724,429.874067036171,1862.78762382341,"P81.B5.0"
60,70.2588235294118,41.4846493947785,1501.93570134883,450.580710404649,1952.51641175348,"P81.B5.0"
65,71.9720588235295,42.3363201330296,1572.4991955672,471.749758670158,2044.24895423735,"P81.B5.0"
