"Species","Timestep","dry","flooded","intermediate","moist"
"Ace_pse",0,16473.732746363,8876.74475255753,13348.3045740421,8876.74475255753
"Ace_pse",5,17402.9460420239,9057.98285731665,13636.3048609276,8698.24566934049
"Ace_pse",10,18324.604728697,9197.75954366475,13896.994431022,8510.25530932354
"Ace_pse",15,19234.3617382264,9290.45332297585,14131.1885044439,8315.98851245753
"Ace_pse",20,20127.9746442607,9335.83750708333,14337.0318027318,8118.37702673741
"Ace_pse",25,21001.372900202,9335.61017080252,14520.7747363263,7920.01816645044
"Ace_pse",30,21850.7178221237,9290.15892288087,14682.9815204862,7723.15724824407
"Ace_pse",35,22672.4521644697,9202.767117505,14820.8454049742,7529.69067329035
"Ace_pse",40,23463.3383874662,9078.05068398547,14939.4626473005,7340.10908458693
"Ace_pse",45,24220.4858789201,8921.47443269079,15040.6241876032,7152.17556251492
"Ace_pse",50,24941.367992762,8738.92025835588,15120.1758069655,6970.2515948044
"Ace_pse",55,25623.8300533538,8536.3362917966,15179.4518350084,6791.87667061377
"Ace_pse",60,26266.0895807324,8319.47015755605,15219.0889292487,6620.42804070171
"Ace_pse",65,26866.729992514,8093.67895372079,15240.0561125943,6455.17394948244
"Ace_pse",70,27424.6889776802,7853.0432533679,15243.386396779,6295.9771345064
"Ace_pse",75,27939.2426432866,7567.98210074075,15230.1637203615,6146.05204030602
"Ace_pse",80,28409.986424421,7229.14536732035,15201.5096675757,6000.73375716371
"Ace_pse",85,28769.1793221312,6834.99007126414,15158.5704393354,5859.68231956525
"Ace_pse",90,29031.7033066585,6515.42489174303,15100.1489842491,5725.47271116097
"Ace_pse",95,29223.1910126582,5912.14744338342,15032.0741049695,5600.5375584813
"Ace_pse",100,29354.6515010025,5570.9415285273,14953.1933879526,5481.19443101213
"Fra_exc",0,60917.1193085046,45038.1291453593,52306.509045572,45038.1291453593
"Fra_exc",5,62467.5794758118,39133.8465362344,51673.8682152662,42009.8119574841
"Fra_exc",10,63953.2495015396,34003.0441702415,50990.4321249431,39155.4994941477
"Fra_exc",15,65377.1741029827,29555.2338933316,50262.3501813517,36468.5557585225
"Fra_exc",20,66737.5810891497,25708.6922947684,49488.6682987407,33942.2121768156
"Fra_exc",25,68032.9945706859,22389.622872261,48676.0492890217,31569.6270130792
"Fra_exc",30,69262.2237273842,19494.6433941489,47828.3664688629,29343.9376275521
"Fra_exc",35,70424.3494845094,16984.4179440098,46949.4178336422,27258.3062132184
"Fra_exc",40,71518.7098513445,14808.477564151,46042.9035009509,25305.9595541171
"Fra_exc",45,72544.1301524874,12904.9519520264,45112.4074751819,23480.2232917791
"Fra_exc",50,73502.0258196092,11241.6901047005,44152.0330655701,21774.5511491933
"Fra_exc",55,74391.5455127374,9804.12589576021,43176.1383782688,20182.5495357709
"Fra_exc",60,75212.9006099322,8551.55929451189,42187.537560259,18697.9979363598
"Fra_exc",65,75966.4820867759,7471.94842857798,41188.3592730943,17314.8654692546
"Fra_exc",70,76652.8458665364,6401.71933792736,40181.3227940804,16027.3239806197
"Fra_exc",75,77272.6987538528,5293.88447461241,39160.4353962531,14829.7580249163
"Fra_exc",80,77826.8849924166,4425.83934030852,38138.4822920016,13715.440085165
"Fra_exc",85,78313.635682432,3798.72244783563,37118.9054989561,12674.3823769842
"Fra_exc",90,78739.9254524409,3142.76719117446,36101.0153825162,11707.0342421897
"Fra_exc",95,79102.97799356,2089.26087149962,35090.4132336505,10805.0306371682
"Fra_exc",100,79391.9987328837,1785.92357632929,34086.409120964,9970.89887497678
"Car_bet",0,5381.11983244192,8073.42671128524,10562.4243672703,8073.42671128524
"Car_bet",5,5721.42710165215,8969.38811882245,11722.384240107,8803.94626732311
"Car_bet",10,6076.73045816647,10083.379713586,12984.6709423492,9601.49657011473
"Car_bet",15,6446.99103841393,11438.4984062654,14352.2566051356,10465.7834696914
"Car_bet",20,6836.54759331759,13060.8357783382,15827.8811717468,11397.1416664981
"Car_bet",25,7241.70383026216,14972.6687299908,17404.7681192851,12395.6338018444
"Car_bet",30,7663.14879292344,17216.8983869688,19094.6845538436,13461.0733507036
"Car_bet",35,8100.99307402708,19790.9525307583,20887.652294587,14593.0466424606
"Car_bet",40,8554.41290670434,22721.1988982173,22797.1536216874,15790.9337663671
"Car_bet",45,9023.3035395249,26025.059612897,24811.7557323856,17053.9282622261
"Car_bet",50,9507.55383606489,29734.4421639271,26945.5014418452,18375.7417108151
"Car_bet",55,10007.1930689062,33856.8973711291,29191.1026781437,19760.1040473002
"Car_bet",60,10528.806604599,38410.458602182,31552.5525946966,21205.9315760199
"Car_bet",65,11067.3532309454,43396.1744016139,34020.9168894097,22712.0004438059
"Car_bet",70,11621.5865518612,48520.6999647387,36595.3957688641,24276.9633816808
"Car_bet",75,12191.3443784504,53956.0349539023,39282.2464337973,25899.3647548035
"Car_bet",80,12756.8747595364,59712.7347306144,42079.7676509238,27571.8840111771
"Car_bet",85,13341.1189561208,65678.5604143301,44986.367990159,29298.3482630733
"Car_bet",90,13935.4132658953,70375.4187355854,47997.86970431,31077.2149284414
"Car_bet",95,14539.0359015657,76307.9120899779,51116.3955545864,32900.7597713814
"Car_bet",100,15151.2945307694,82235.8332934195,54278.4844212158,34773.2241296225
"Ace_pla",0,1635.71653183615,4760.60266719791,1668.81112778089,4760.60266719791
"Ace_pla",5,2130.18793771164,2298.92301064975,2066.86511024624,5167.04539736535
"Ace_pla",10,2742.05865212035,1113.66775335932,2541.13888765391,5629.07068719617
"Ace_pla",15,3486.86362551701,542.988467470627,3096.89149968477,6149.31786247105
"Ace_pla",20,4379.40762161575,268.218153435425,3745.96903756684,6729.12946412031
"Ace_pla",25,5439.66886167135,52.4006935488637,4495.00139868968,7368.66073439736
"Ace_pla",30,6683.55968076896,30.9989539302911,5343.44691493237,8065.60647236557
"Ace_pla",35,8131.56981399099,15.7993664250501,6302.55482924638,8816.47161945682
"Ace_pla",40,9803.83156278807,30.801376810279,7369.05654863258,9618.399456901
"Ace_pla",45,11723.1387514762,57.0394658681632,8552.32207639894,10470.493545157
"Ace_pla",50,13907.0909604138,94.1991173290353,9851.01437662462,11369.5902159788
"Ace_pla",55,16376.1602395967,143.627261635616,11271.3615039417,12312.1266224682
"Ace_pla",60,19146.3874952155,206.665595851819,12814.8339388503,13287.3066687648
"Ace_pla",65,22242.8177200445,284.476905147864,14488.6127318767,14295.7828355619
"Ace_pla",70,25687.7787567228,378.044308288029,16295.4729650674,15330.9046046676
"Ace_pla",75,29503.7272547842,482.093924256668,18236.6838064594,16387.1500631806
"Ace_pla",80,33708.5385475599,510.572792855118,20316.7215114635,17455.8139695917
"Ace_pla",85,38305.3158925965,252.421270978246,22540.4361708484,18542.5881205524
"Ace_pla",90,43313.2301843725,1.51749319111226,24912.7880232788,19635.4863759768
"Ace_pla",95,48743.4941848461,0,27438.6449980829,20737.8803466515
"Ace_pla",100,54606.207234996,0,30122.4049839298,21844.1591647971
"Que_rob",0,25563.7495392436,16040.7715010502,29213.8949834662,16040.7715010502
"Que_rob",5,24674.1171126032,14430.7713712989,27167.3945699285,14317.6337961936
"Que_rob",10,23792.8651839111,12961.4061325154,25231.3103610689,12763.6816091638
"Que_rob",15,22921.0852151156,11623.7021152224,23403.8353168717,11364.773456852
"Que_rob",20,22049.5229828539,10408.694767215,21682.5687704049,10107.5526808059
"Que_rob",25,21187.8817770837,9307.55204240167,20064.6201731175,8979.47444640484
"Que_rob",30,20341.104273019,8311.67225323623,18546.7036465645,7968.81573824971
"Que_rob",35,19509.8478521764,7412.75952337811,17125.2233239231,7064.67150005115
"Que_rob",40,18694.8329250278,6602.87985959749,15796.3496603973,6256.93970562589
"Que_rob",45,17891.6280631922,5874.50067689904,14556.0870400685,5536.29779535699
"Que_rob",50,17112.7816774779,5220.51638445464,13400.3331148028,4894.17257853687
"Que_rob",55,16348.412658814,4634.26239197605,12324.9303850754,4322.70539205936
"Que_rob",60,15607.749027841,4109.51964124646,11325.7105791014,3814.71402317665
"Que_rob",65,14886.4871417359,3640.51151616311,10398.5324108372,3363.65264986828
"Que_rob",70,14185.3384809846,3221.89474407207,9539.31330393713,2963.57082681959
"Que_rob",75,13504.8970431107,2848.74567612714,8744.05566159048,2609.0723471766
"Que_rob",80,12845.6400085099,2516.54312768541,8008.86824470048,2295.27463859524
"Que_rob",85,12207.9303702659,2221.14877273014,7329.98319588341,2017.76920470881
"Que_rob",90,11592.0211128745,1958.78591930757,6703.76921655809,1772.58349785258
"Que_rob",95,10998.0605790376,1726.01734555222,6126.74137081963,1556.14450348424
"Que_rob",100,10426.0987139677,1519.72274712354,5595.56795433164,1365.24422901202
"Ulm_spe",0,840.356831288504,1699.03336206699,1300.23107544011,1699.03336206699
"Ulm_spe",5,954.894875498401,2292.81688509929,1301.3326980965,1818.73321517948
"Ulm_spe",10,1069.02863559417,2972.81990432322,1308.59055923955,1940.66506945869
"Ulm_spe",15,1181.57029117879,3764.74289243181,1319.56181071731,2063.46549257558
"Ulm_spe",20,1290.82706185227,4692.067392163,1332.1894189796,2181.53024236778
"Ulm_spe",25,1395.76539956916,5778.79655052983,1346.3558774951,2293.39462426224
"Ulm_spe",30,1497.6572826431,6997.19704973392,1362.98516993208,2400.91944118852
"Ulm_spe",35,1593.82144480154,8394.37768974693,1382.14172840171,2500.89756123492
"Ulm_spe",40,1683.85506752299,10018.5678874823,1401.17713510997,2593.41134510302
"Ulm_spe",45,1767.52145816691,11857.5423018863,1419.79453373966,2678.96538540951
"Ulm_spe",50,1844.72343464944,13897.6976063549,1437.75710712488,2750.99306143268
"Ulm_spe",55,1915.47890014796,16207.1983951267,1454.88115628493,2813.63771365556
"Ulm_spe",60,1979.89886649364,18827.7088471035,1471.38943433467,2863.46703822646
"Ulm_spe",65,2038.16799734761,21585.8930488548,1486.79892835484,2901.12858565727
"Ulm_spe",70,2067.21645591689,24717.5048198981,1501.04492202672,2931.00715167129
"Ulm_spe",75,2037.08284178418,27976.0706460484,1514.09253789228,2950.2280317376
"Ulm_spe",80,1998.25516915667,30879.53365437,1525.93177703181,2963.12721041362
"Ulm_spe",85,1986.69654470996,33556.9677483342,1529.26439411943,2967.01282836873
"Ulm_spe",90,1965.88909715565,36978.6435705122,1511.85673196649,2962.81993338643
"Ulm_spe",95,1936.73810448269,39272.783198026,1477.02763043695,2951.49078388278
"Ulm_spe",100,1900.17920054835,40714.0421549687,1390.17851010317,2936.85418750684
"Til_spe",0,12765.6951566155,11992.3985048777,7234.07174805853,11992.3985048777
"Til_spe",5,13021.0033526686,14233.7328662246,7554.13701958847,12595.7627283106
"Til_spe",10,13278.5727462391,16589.7182340524,7887.95010467938,13223.8930178583
"Til_spe",15,13541.5480986323,18932.634175746,8239.37968660361,13876.6139510723
"Til_spe",20,13813.4903580199,21210.7169515837,8611.13656507929,14558.6429304238
"Til_spe",25,14098.3512192878,23311.1373400506,9007.25059611923,15271.2758792678
"Til_spe",30,14400.4474130251,25475.7666016959,9431.86753859383,16015.1241268391
"Til_spe",35,14724.4350064335,27462.8515317525,9889.58146870538,16795.9913602327
"Til_spe",40,15075.2839266496,29527.8985217162,10385.2727359473,17616.2433045717
"Til_spe",45,15462.554629938,31374.8915952041,10924.0752527045,18478.2075761147
"Til_spe",50,15888.1808631543,32924.4218912048,11511.3448694402,19386.1541167042
"Til_spe",55,16357.9475365842,34125.0787722452,12152.6289129574,20339.7422002436
"Til_spe",60,16877.8528339589,35254.7272403544,12853.6369415102,21351.1370823185
"Til_spe",65,17454.085746158,35849.3915452371,13620.2127521909,22414.6643641471
"Til_spe",70,18063.8358747747,35970.4194684698,14458.3076615617,23532.5829713723
"Til_spe",75,18621.8286775057,35703.6314901012,15373.9550689543,24707.0724389238
"Til_spe",80,19002.4059210192,31800.934069384,16373.2463025437,25957.0396693068
"Til_spe",85,19678.5187278022,31147.1279979411,17447.99775439,27270.1039131664
"Til_spe",90,20401.964210701,29902.0230685118,18524.6844433745,28657.1430960221
"Til_spe",95,21033.1143726927,26726.1149920496,19536.3506622633,30111.8909714793
"Til_spe",100,21602.1843227421,25527.6751528519,20502.8792136375,31636.6227798106
