"sp","dbh","n","cl","time","height","stem_volume","average_carbon_stock_per_cohort","total_carbon_total","total_carbon_above","total_carbon_below","ca_ind","ca_cohort","cumca","Species_Name","SP_code","k","p","a","b","c","Wood_Density","agb","carbon_above_per_tree","carbon_below_per_tree"
5,119.5,0.4364,1,0,40.9761697719593,20118.9698325473,6883.90671790438,3004.13689169347,2310.8745320719,693.26235962157,229.132812104845,99.9935592025543,99.9935592025543,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,11266.6231062265,5295.31285992645,1588.59385797793
5,105.5,0.4364,1,0,39.3465121507482,15137.3641792746,5179.40052758061,2260.29039023618,1738.68491556629,521.605474669887,208.8863665883,91.1580103791339,191.151569581688,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,8476.9239403938,3984.15425198509,1195.24627559553
5,103.5,0.4364,1,0,39.1020052387313,14490.126914557,4957.94182508482,2163.64581246702,1664.34293266693,499.30287980008,204.97579592398,89.4514373412249,280.603006922913,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,8114.47107215191,3813.8014039114,1144.14042117342
5,102.5,0.4364,1,0,38.9785556652119,14172.4581329423,4849.24827476754,2116.21194710856,1627.85534392966,488.356603178898,202.915834681074,88.5524702548206,369.155477177734,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,7936.5765544477,3730.19098059042,1119.05729417713
5,100.5,0.4364,1,0,38.7291985771393,13548.9658657869,4635.91416063765,2023.11293970227,1556.2407228479,466.87221685437,198.584411784424,86.6622373027225,455.817714480456,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,7587.42088484066,3566.08781587511,1069.82634476253
5,98.5,0.4364,1,0,38.4764725131531,12941.1938891376,4427.95890110732,1932.36126444324,1486.43174187941,445.929522563823,193.970442676294,84.6487011839346,540.466415664391,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,7247.06857791706,3406.12223162102,1021.8366694863
2,92.5,0.4364,1,0,41.30954699434,10226.2658919291,3499.01913758246,1526.97195164099,1174.59380895461,352.378142686382,178.478079345986,77.8878338265885,618.354249490979,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,5726.7088994803,2691.55318275574,807.465954826722
2,89.5,0.4364,1,0,40.6095000224653,9462.91891203976,3237.83233494353,1412.99003096935,1086.91540843797,326.07462253139,169.873509971262,74.1327997514588,692.487049242438,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,5299.23459074227,2490.64025764887,747.19207729466
2,83.5,0.4364,1,0,39.1746295214436,8037.36428135096,2750.06456250704,1200.12817507807,923.175519290826,276.952655787248,151.299019672394,66.0268921850328,758.513941427471,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,4500.92399755654,2115.43427885157,634.630283655472
2,82.5,0.4364,1,0,38.9307135966653,7812.7061890338,2673.19554963981,1166.58253786281,897.371182971394,269.211354891418,148.069165095132,64.6173836475156,823.131325074987,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,4375.11546585893,2056.3042689537,616.891280686109
