"sp","dbh","n","cl","time","height","stem_volume","average_carbon_stock_per_cohort","total_carbon_total","total_carbon_above","total_carbon_below","ca_ind","ca_cohort","cumca","Species_Name","SP_code","k","p","a","b","c","Wood_Density","agb","carbon_above_per_tree","carbon_below_per_tree"
2,89.5,0.3544,1,0,40.6095000224653,9462.91891203976,3237.83233494353,1147.48777950399,882.682907310758,264.804872193227,169.873509971262,60.2031719338153,60.2031719338153,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,5299.23459074227,2490.64025764887,747.19207729466
2,87.5,0.3544,1,0,40.1365067571972,8972.85024289738,3070.15043910977,1088.0613156205,836.970242785001,251.0910728355,163.861854186125,58.0726411235626,118.275813057378,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,5024.79613602253,2361.65418393059,708.496255179177
3,90.5,0.3544,1,0,51.3605111204517,7332.84425670576,3163.13969563814,1121.01670813416,862.320544718582,258.696163415574,163.249795677034,57.855727587941,176.131540645319,"Car_bet","HBU",1.14862444142167,0.843509305258925,0.00021491,2.258957614,0.001411006,0.706,5176.98804523427,2433.18438126011,729.955314378032
2,82.5,0.3544,1,0,38.9307135966653,7812.7061890338,2673.19554963981,947.380502792348,728.75423291719,218.626269875157,148.069165095132,52.4757121097148,228.607252755034,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,4375.11546585893,2056.3042689537,616.891280686109
2,81.5,0.3544,1,0,38.6853695818411,7591.70248312421,2597.57692162578,920.581261024177,708.139431557059,212.441829467118,144.812473487499,51.3215406039695,279.928793359003,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,4251.35339054956,1998.13609355829,599.440828067488
4,84.5,0.3544,1,0,39.5000965858558,8680.27592259715,2784.4155090711,986.796856414799,759.074504934461,227.722351480338,139.926476333289,49.5899432125175,329.518736571521,"Ace_pla","SAH",2.66852277140583,0.607376375728583,1.89756,0.97716,-2.94253,0.525,4557.14485936351,2141.85808390085,642.557425170254
2,79.5,1.0633,1,0,38.1902923183034,7160.59531128774,2450.06929171021,2605.15867787547,2003.96821375036,601.190464125108,138.237565475878,146.988003370501,476.506739942021,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,4009.93337432113,1884.66868593093,565.40060577928
3,72.5,0.3544,1,0,42.598123940432,4805.47820735402,2072.91991239347,734.642816952247,565.109859194036,169.532957758211,137.360232430008,48.6804663731947,525.187206315216,"Car_bet","HBU",1.14862444142167,0.843509305258925,0.00021491,2.258957614,0.001411006,0.706,3392.66761439194,1594.55377876421,478.366133629263
3,69.5,0.3544,1,0,41.1063935805418,4433.65122983823,1912.5263964104,677.799354887845,521.384119144496,156.415235743349,132.089257864979,46.8124329873487,571.999639302565,"Car_bet","HBU",1.14862444142167,0.843509305258925,0.00021491,2.258957614,0.001411006,0.706,3130.15776826579,1471.17415108492,441.352245325476
2,77.5,0.7089,1,0,37.6891795371073,6743.91566055559,2307.4981824157,1635.78546151449,1258.2965088573,377.48895265719,131.613422738353,93.3007553792187,665.300394681783,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,3776.59276991113,1774.99860185823,532.499580557469
