"sp","dbh","n","cl","time","height","stem_volume","average_carbon_stock_per_cohort","total_carbon_total","total_carbon_above","total_carbon_below","ca_ind","ca_cohort","cumca","Species_Name","SP_code","k","p","a","b","c","Wood_Density","agb","carbon_above_per_tree","carbon_below_per_tree"
5,112.5,1,1,0,40.1784470161897,17528.7608555863,5997.64081434742,5997.64081434742,4613.56985719032,1384.0709571571,220.469911549888,220.469911549888,220.469911549888,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,9816.10607912835,4613.56985719032,1384.0709571571
5,111.5,1,1,0,40.0617774626283,17175.0424384491,5876.61252073974,5876.61252073974,4520.4711697998,1356.14135093994,219.00597289187,219.00597289187,439.475884441758,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,9618.02376553149,4520.4711697998,1356.14135093994
5,85.5,1,1,0,36.7430117532506,9367.56691927399,3205.20669709879,3205.20669709879,2465.54361315291,739.663083945875,157.660182392421,157.660182392421,597.136066834179,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,5245.83747479344,2465.54361315291,739.663083945875
5,71.5,1,1,0,34.6642069538319,6227.51274816028,2130.80576191052,2130.80576191052,1639.08135531579,491.724406594736,111.848874750159,111.848874750159,708.984941584338,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,3487.40713896976,1639.08135531579,491.724406594736
2,68.5,1,1,0,35.3528766928046,5043.88165992364,1725.81454875947,1725.81454875947,1327.5496528919,398.264895867571,106.343704165871,106.343704165871,815.328645750209,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,2824.57372955724,1327.5496528919,398.264895867571
3,50.5,2,1,0,31.3993154797223,2412.44869134522,1040.64834219082,2081.29668438164,1600.99744952434,480.299234857301,93.9614294659121,187.922858931824,1003.25150468203,"Car_bet","HBU",1.14862444142167,0.843509305258925,0.00021491,2.258957614,0.001411006,0.706,1703.18877608972,800.498724762169,240.149617428651
3,49.5,1,1,0,30.87402897309,2322.22942219407,1001.73081693417,1001.73081693417,770.562166872437,231.168650061731,91.8136438561208,91.8136438561208,1095.06514853815,"Car_bet","HBU",1.14862444142167,0.843509305258925,0.00021491,2.258957614,0.001411006,0.706,1639.49397206901,770.562166872437,231.168650061731
5,64.5,1,1,0,33.5202788097835,4922.10143920891,1684.14622843972,1684.14622843972,1295.49709879979,388.649129639936,90.0800822668087,90.0800822668087,1185.14523080496,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,2756.37680595699,1295.49709879979,388.649129639936
3,48.5,1,1,0,30.3470790609013,2233.64588289322,963.518889920115,963.518889920115,741.168376861627,222.350513058488,89.661351156048,89.661351156048,1274.80658196101,"Car_bet","HBU",1.14862444142167,0.843509305258925,0.00021491,2.258957614,0.001411006,0.706,1576.95399332261,741.168376861627,222.350513058488
3,46.5,1,1,0,29.2880282772696,2061.39867556101,889.217301082049,889.217301082049,684.013308524653,205.203992557396,85.3493152554054,85.3493152554054,1360.15589721642,"Car_bet","HBU",1.14862444142167,0.843509305258925,0.00021491,2.258957614,0.001411006,0.706,1455.34746494607,684.013308524653,205.203992557396
3,43.5,1,1,0,27.6859218168324,1815.37705702894,783.091939582343,783.091939582343,602.378415063341,180.713524519002,78.8855320870816,78.8855320870816,1439.0414293035,"Car_bet","HBU",1.14862444142167,0.843509305258925,0.00021491,2.258957614,0.001411006,0.706,1281.65620226243,602.378415063341,180.713524519002
2,55.5,1,1,0,31.6989147863053,3074.01467200442,1051.80486017303,1051.80486017303,809.080661671564,242.724198501469,77.520229854193,77.520229854193,1516.56165915769,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,1721.44821632248,809.080661671564,242.724198501469
3,39.5,1,1,0,25.5224616692991,1510.54736130724,651.59877305766,651.59877305766,501.22982542897,150.368947628691,70.3387686643522,70.3387686643522,1586.90042782204,"Car_bet","HBU",1.14862444142167,0.843509305258925,0.00021491,2.258957614,0.001411006,0.706,1066.44643708291,501.22982542897,150.368947628691
3,38.5,1,1,0,24.9763477086874,1438.50754712873,620.523246574731,620.523246574731,477.325574288254,143.197672286476,68.2247380001052,68.2247380001052,1655.12516582215,"Car_bet","HBU",1.14862444142167,0.843509305258925,0.00021491,2.258957614,0.001411006,0.706,1015.58632827288,477.325574288254,143.197672286476
3,37.5,1,1,0,24.4280091744879,1368.14270874572,590.170247700807,590.170247700807,453.977113616005,136.193134084802,66.1226305139632,66.1226305139632,1721.24779633611,"Car_bet","HBU",1.14862444142167,0.843509305258925,0.00021491,2.258957614,0.001411006,0.706,965.908752374479,453.977113616005,136.193134084802
3,35.5,2,1,0,23.3243792533098,1232.45473867008,531.639070801158,1063.27814160232,817.906262771013,245.371878831304,61.9596541504421,123.919308300884,1845.167104637,"Car_bet","HBU",1.14862444142167,0.843509305258925,0.00021491,2.258957614,0.001411006,0.706,870.113045501078,408.953131385506,122.685939415652
3,34.5,3,1,0,22.7689377548727,1167.14031221641,503.464647919545,1510.39394375864,1161.84149519895,348.552448559685,59.9014263740464,179.704279122139,2024.87138375913,"Car_bet","HBU",1.14862444142167,0.843509305258925,0.00021491,2.258957614,0.001411006,0.706,824.001060424787,387.28049839965,116.184149519895
5,52.5,1,1,0,31.3465949539961,3076.33082265028,1052.59735427802,1052.59735427802,809.690272521554,242.907081756466,59.264218695622,59.264218695622,2084.13560245476,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,1722.74526068416,809.690272521554,242.907081756466
3,33.5,1,1,0,22.2109706898104,1103.51828705316,476.020269412974,476.020269412974,366.16943800998,109.850831402994,57.8603977310344,57.8603977310344,2141.99600018579,"Car_bet","HBU",1.14862444142167,0.843509305258925,0.00021491,2.258957614,0.001411006,0.706,779.083910659532,366.16943800998,109.850831402994
5,51.5,1,1,0,31.1508674535451,2944.17567627186,1007.37914939318,1007.37914939318,774.907037994753,232.472111398426,57.1424288624218,57.1424288624218,2199.13842904821,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,1648.73837871224,774.907037994753,232.472111398426
3,31.5,1,1,0,21.0871043727166,981.370409603887,423.32982810919,423.32982810919,325.638329314762,97.6914987944285,53.8347440269538,53.8347440269538,2252.97317307517,"Car_bet","HBU",1.14862444142167,0.843509305258925,0.00021491,2.258957614,0.001411006,0.706,692.847509180344,325.638329314762,97.6914987944285
3,30.5,1,1,0,20.521012249769,922.854442720986,398.088029538781,398.088029538781,306.221561183678,91.8664683551033,51.8524006589651,51.8524006589651,2304.82557373413,"Car_bet","HBU",1.14862444142167,0.843509305258925,0.00021491,2.258957614,0.001411006,0.706,651.535236561016,306.221561183678,91.8664683551033
5,48.5,4,1,0,30.547857068448,2567.15108349532,878.37641472876,3513.50565891504,2702.69666070388,810.808998211163,51.1973278651447,204.789311460579,2509.61488519471,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,1437.60460675738,675.674165175969,202.702249552791
3,29.5,2,1,0,19.952007568977,866.050669458984,373.584813081844,747.169626163688,574.74586627976,172.423759883928,49.8918155012452,99.7836310024905,2609.3985161972,"Car_bet","HBU",1.14862444142167,0.843509305258925,0.00021491,2.258957614,0.001411006,0.706,611.431772638043,287.37293313988,86.211879941964
3,28.5,4,1,0,19.379975802447,810.964483784331,349.822505512112,1399.29002204845,1076.37694003727,322.91308201118,47.953998764672,191.815995058688,2801.21451125589,"Car_bet","HBU",1.14862444142167,0.843509305258925,0.00021491,2.258957614,0.001411006,0.706,572.540925551738,269.094235009317,80.728270502795
5,46.5,3,1,0,30.1317383301957,2331.81869178322,797.855083580548,2393.56525074164,1841.20403903203,552.36121170961,47.5774828203946,142.732448461184,2943.94695971707,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,1305.8184673986,613.734679677344,184.120403903203
3,27.5,2,1,0,18.8047937274866,757.601483661036,326.803521600927,653.607043201853,502.77464861681,150.832394585043,46.0399054484396,92.0798108968793,3036.02677061395,"Car_bet","HBU",1.14862444142167,0.843509305258925,0.00021491,2.258957614,0.001411006,0.706,534.866647464692,251.387324308405,75.4161972925215
5,44.5,1,1,0,29.7033693234128,2109.12390372853,721.657834899755,721.657834899755,555.12141146135,166.536423438405,44.2234647961983,44.2234647961983,3080.25023541015,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,1181.10938608798,555.12141146135,166.536423438405
3,26.5,1,1,0,18.2263284249498,705.967486349112,304.530370716471,304.530370716471,234.254131320362,70.2762393961087,44.1504341104968,44.1504341104968,3124.40066952065,"Car_bet","HBU",1.14862444142167,0.843509305258925,0.00021491,2.258957614,0.001411006,0.706,498.413045362473,234.254131320362,70.2762393961087
2,37.5,1,1,0,25.8690805185309,1222.02284271829,418.127335864491,418.127335864491,321.636412203455,96.4909236610364,43.8972241360728,43.8972241360728,3168.29789365672,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,684.332791922244,321.636412203455,96.4909236610364
5,43.5,1,1,0,29.4843027381409,2002.46693349917,685.164085966076,685.164085966076,527.049296896981,158.114789069094,42.6431087626441,42.6431087626441,3210.94100241936,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,1121.38148275954,527.049296896981,158.114789069094
3,25.5,1,1,0,17.6444361198411,656.068545461632,283.005664181602,283.005664181602,217.696664755079,65.3089994265236,42.2864259021103,42.2864259021103,3253.22742832147,"Car_bet","HBU",1.14862444142167,0.843509305258925,0.00021491,2.258957614,0.001411006,0.706,463.184393095912,217.696664755079,65.3089994265236
5,42.5,1,1,0,29.2618134803676,1898.91032535553,649.731156923649,649.731156923649,499.793197633576,149.937959290073,41.1253747680508,41.1253747680508,3294.35280308952,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,1063.3897821991,499.793197633576,149.937959290073
5,41.5,2,1,0,29.0357656121049,1798.43372623513,615.352083768612,1230.70416753722,946.695513490172,284.008654047052,39.6688033933473,79.3376067866946,3373.69040987622,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,1007.12288669167,473.347756745086,142.004327023526
5,40.5,1,1,0,28.8060143615714,1701.01643678468,582.019784010248,582.019784010248,447.707526161729,134.312257848519,38.2718705204446,38.2718705204446,3411.96228039666,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,952.569204599423,447.707526161729,134.312257848519
7,37.5,1,1,0,26.527718233057,1185.17482488791,305.587847198749,305.587847198749,235.067574768268,70.5202724304805,37.7971515482299,37.7971515482299,3449.75943194489,"Til_spe","WLI",1.0585102500138,0.888803708564362,1.94295,1.29229,-4.20064,0.422,500.143776102699,235.067574768268,70.5202724304805
5,39.5,1,1,0,28.5724053147834,1606.63739690339,549.727051724465,549.727051724465,422.866962864973,126.860088859492,36.9329989262421,36.9329989262421,3486.69243087114,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,899.7169422659,422.866962864973,126.860088859492
5,38.5,1,1,0,28.3347735106206,1515.27517030712,518.466552272284,518.466552272284,398.820424824834,119.64612744745,35.6505691561422,35.6505691561422,3522.34300002728,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,848.554095371987,398.820424824834,119.64612744745
5,37.5,2,1,0,28.0929424250077,1426.90792802051,488.230816651499,976.461633302999,751.124333309999,225.337299993,34.4229296576621,68.8458593153242,3591.1888593426,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,799.068439691488,375.562166655,112.6686499965
3,20.5,1,1,0,14.6775862581487,432.830729006006,186.708460248405,186.708460248405,143.621892498773,43.0865677496319,33.3736859138998,33.3736859138998,3624.5625452565,"Car_bet","HBU",1.14862444142167,0.843509305258925,0.00021491,2.258957614,0.001411006,0.706,305.578494678241,143.621892498773,43.0865677496319
5,35.5,1,1,0,27.5959114886136,1259.06900961716,430.803052330608,430.803052330608,331.386963331237,99.416088999371,32.1253103396926,32.1253103396926,3656.6878555962,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,705.07864538561,331.386963331237,99.416088999371
