Tree_ID,DBH20,Height20,xxx,DBH24,Height24,Species
P82.B1.0,6.1,9.100000381,NA,NA,NA,NA
P82.B2.0,7.9,9.399999619,NA,NA,NA,NA
P82.B3.0,6.8,6.699999809,NA,NA,NA,NA
P82.B4.0,8,6.800000191,NA,NA,NA,NA
P82.B5.0,9,8.800000191,NA,NA,NA,NA
P82.B6.0,12.6,8.399999619,NA,NA,NA,NA
P82.B7.0,8.2,10.80000019,NA,NA,NA,NA
P82.B8.0,83.8,31.39999962,NA,NA,NA,NA
P82.B9.0,7.7,7.900000095,NA,NA,NA,NA
P82.B10.0,9.4,12.69999981,NA,NA,NA,NA
P82.B11.0,42.2,30,NA,NA,NA,NA
P82.B12.0,34.2,24.5,NA,NA,NA,NA
P82.B13.0,31.2,25.10000038,NA,NA,NA,NA
P82.B14.0,31.8,24.299999239999998,NA,NA,NA,NA
P82.B15.0,22.4,21.60000038,NA,NA,NA,NA
P82.B16.0,30.7,25.799999239999998,NA,NA,NA,NA
P82.B17.0,39.4,28.10000038,NA,NA,NA,NA
P82.B18.0,54.1,34.40000153,NA,NA,NA,NA
P82.B19.0,6.8,5.900000095,NA,NA,NA,NA
P82.B20.0,46.7,30.10000038,NA,NA,NA,NA
P82.B21.0,27.5,19.89999962,NA,NA,NA,NA
P82.B22.0,33.3,29.299999239999998,NA,NA,NA,NA
P82.B23.0,17.9,18.700000760000002,NA,NA,NA,NA
P82.B24.0,34.8,23.60000038,NA,NA,NA,NA
P82.B25.0,15.5,8.399999619,NA,NA,NA,NA
P82.B26.0,24.9,10.899999619999999,NA,NA,NA,NA
P82.B27.0,26.6,9.399999619,NA,NA,NA,NA
P82.B28.0,44.6,30.299999239999998,NA,NA,NA,NA
P82.B29.0,5,6.800000191,NA,NA,NA,NA
P82.B30.0,5.6,5,NA,NA,NA,NA
P82.B31.0,29.2,24.799999239999998,NA,NA,NA,NA
P82.B32.0,6.2,4.5,NA,NA,NA,NA
P82.B33.0,5.5,5.099999905,NA,NA,NA,NA
P82.B34.0,12.6,3.299999952,NA,NA,NA,NA
P82.B35.0,44.2,29.700000760000002,NA,NA,NA,NA
P82.B36.0,26.7,22.39999962,NA,NA,NA,NA
P82.B37.0,24.7,14.899999619999999,NA,NA,NA,NA
P82.B38.0,26.8,21.10000038,NA,NA,NA,NA
P82.B39.0,8.3,8.800000191,NA,NA,NA,NA
P82.B40.0,7.6,5,NA,NA,NA,NA
P82.B41.0,7.9,2.700000048,NA,NA,NA,NA
P82.B42.0,23.1,6.900000095,NA,NA,NA,NA
P82.B43.0,6.9,3.9000000950000002,NA,NA,NA,NA
P82.B44.1,9.7,7.300000191,NA,NA,NA,NA
P82.B44.2,5.8,5.599999905,NA,NA,NA,NA
P82.B46.0,18.3,13.600000380000001,NA,NA,NA,NA
P82.B47.0,11.2,9.300000191,NA,NA,NA,NA
P82.B48.0,6.1,7.599999905,NA,NA,NA,NA
P82.B49.0,45.9,33.70000076,NA,NA,NA,NA
P82.B50.0,7.2,7.400000095,NA,NA,NA,NA
P82.B51.0,5.8,6.5,NA,NA,NA,NA
P82.B52.0,13,10.399999619999999,NA,NA,NA,NA
P82.B53.1,10.9,9.899999619,NA,NA,NA,NA
P82.B53.2,10.3,4.900000095,NA,NA,NA,NA
P82.B54.0,8.1,10.5,NA,NA,NA,NA
P82.B55.0,10.2,8.5,NA,NA,NA,NA
P82.B56.0,5.7,7.099999905,NA,NA,NA,NA
P82.B57.0,9.8,8.300000191,NA,NA,NA,NA
P82.B58.0,12.1,13.600000380000001,NA,NA,NA,NA
P82.B59.0,6.4,7.5,NA,NA,NA,NA
P82.B60.0,5.8,6.599999905,NA,NA,NA,NA
P82.B61.0,8.5,8.899999619,NA,NA,NA,NA
P82.B62.0,7.8,7.699999809,NA,NA,NA,NA
P82.B63.0,6,5.099999905,NA,NA,NA,NA
P82.B64.0,5.2,8.199999809,NA,NA,NA,NA
P82.B65.0,10.8,9.100000381,NA,NA,NA,NA
P82.B66.0,6.1,6,NA,NA,NA,NA
P82.B67.0,5.5,5.400000095,NA,NA,NA,NA
P82.B68.0,32.4,27.60000038,NA,NA,NA,NA
P82.B69.0,33.2,24.60000038,NA,NA,NA,NA
P82.B70.0,44.8,32.59999847,NA,NA,NA,NA
P82.B71.0,6.5,8.199999809,NA,NA,NA,NA
P82.B72.0,5.2,5.699999809,NA,NA,NA,NA
P82.B73.0,51.5,35.40000153,NA,NA,NA,NA
P82.B74.0,37.1,25.799999239999998,NA,NA,NA,NA
P82.B75.0,41.5,33.79999924,NA,NA,NA,NA
P82.B76.0,19,17.39999962,NA,NA,NA,NA
P82.B77.0,32,23.5,NA,NA,NA,NA
P82.B78.0,28.9,21.89999962,NA,NA,NA,NA
P82.B79.0,18.3,13.399999619999999,NA,NA,NA,NA
P82.B80.0,9.5,11,NA,NA,NA,NA
P82.B81.0,58,32,NA,NA,NA,NA
P82.B82.0,26,20,NA,NA,NA,NA
P82.B83.0,14.7,10.100000380000001,NA,NA,NA,NA
P82.B84.0,16.5,10.899999619999999,NA,NA,NA,NA
P82.B85.0,25.5,17.5,NA,NA,NA,NA
P82.B86.0,8.9,9.800000191,NA,NA,NA,NA
P82.B87.0,41,28.700000760000002,NA,NA,NA,NA
P82.B88.0,5.2,7.5,NA,NA,NA,NA
P82.B89.0,7.9,12.30000019,NA,NA,NA,NA
P82.B90.0,8.9,11.899999619999999,NA,NA,NA,NA
P82.B91.0,36,19.200000760000002,NA,NA,NA,NA
P82.B92.0,8.9,11.30000019,NA,NA,NA,NA
P82.B93.0,36.3,22,NA,NA,NA,NA
P82.B94.0,33,24.5,NA,NA,NA,NA
P82.B95.0,10.5,6.699999809,NA,NA,NA,NA
P82.B96.0,36.2,29.700000760000002,NA,NA,NA,NA
P82.B97.0,63.3,31.39999962,NA,NA,NA,NA
P82.B98.0,20.6,13.899999619999999,NA,NA,NA,NA
P82.B99.0,13.9,11.399999619999999,NA,NA,NA,NA
P82.B100.0,12.5,10.399999619999999,NA,NA,NA,NA
P82.B101.0,13.7,15.600000380000001,NA,NA,NA,NA
P82.B102.0,36.6,27.39999962,NA,NA,NA,NA
P82.B103.0,31.6,21,NA,NA,NA,NA
P82.B104.0,68.8,32.90000153,NA,NA,NA,NA
P82.B105.0,18.5,13.19999981,NA,NA,NA,NA
P82.B106.0,7,6.199999809,NA,NA,NA,NA
P82.B107.0,32.1,24.10000038,NA,NA,NA,NA
P82.B108.0,8.6,9.100000381,NA,NA,NA,NA
P82.B109.0,6.2,8.300000191,NA,NA,NA,NA
P82.B110.0,10.1,8.800000191,NA,NA,NA,NA
P82.B111.0,19.6,4.900000095,NA,NA,NA,NA
P82.B112.0,16.5,12.69999981,NA,NA,NA,NA
P82.B113.0,36.2,26.299999239999998,NA,NA,NA,NA
P82.B114.0,47.8,29.799999239999998,NA,NA,NA,NA
P82.B115.0,5.3,6,NA,NA,NA,NA
