dbh,n,cl,sp,time,ca_ind,ca_cohort,cumca
119.5,0.4364,1,5,0,229.1328121048449,99.99355920255432,99.99355920255432
105.5,0.4364,1,5,0,208.8863665882995,91.1580103791339,191.15156958168822
103.5,0.4364,1,5,0,204.97579592398012,89.45143734122493,280.60300692291315
102.5,0.4364,1,5,0,202.91583468107387,88.55247025482065,369.1554771777338
100.5,0.4364,1,5,0,198.58441178442368,86.6622373027225,455.8177144804563
98.5,0.4364,1,5,0,193.9704426762938,84.64870118393462,540.4664156643909
92.5,0.4364,1,2,0,178.47807934598643,77.88783382658848,618.3542494909793
89.5,0.4364,1,2,0,169.87350997126208,74.13279975145878,692.4870492424382
83.5,0.4364,1,2,0,151.2990196723941,66.02689218503279,758.513941427471
82.5,0.4364,1,2,0,148.06916509513204,64.61738364751562,823.1313250749865
81.5,0.4364,1,2,0,144.81247348749864,63.196163429944406,886.3274885049309
80.5,0.4364,1,2,0,141.53365831741445,61.765288489719666,948.0927769946505
79.5,0.8727,1,2,0,138.23756547587757,120.63992339079836,1068.7327003854489
78.5,0.8727,1,2,0,134.92914521216318,117.75266502665481,1186.4853654121036
69.5,0.4364,1,3,0,132.08925786497926,57.64375213227695,1244.1291175443805
77.5,0.4364,1,2,0,131.61342273835342,57.43609768301744,1301.5652152273979
78.5,0.4364,1,1,0,128.0377139103032,55.87565835045632,1357.4408735778543
74.5,0.8727,1,2,0,121.67317741464873,106.18418192976395,1463.6250555076183
74.5,0.4364,1,5,0,121.67317741464873,53.09817462375271,1516.723230131371
73.5,0.8727,1,2,0,118.37892555096484,103.30928832832701,1620.0325184596982
61.5,0.4364,1,3,0,116.87685625233233,51.00506006851783,1671.037578528216
72.5,0.8727,1,2,0,115.10254758395652,100.44999327651885,1771.487571804735
72.5,0.8727,1,5,0,115.10254758395652,100.44999327651885,1871.9375650812538
70.5,0.4364,1,7,0,114.34337551213582,49.89944907349607,1921.8370141547498
71.5,0.8727,1,2,0,111.84887475015863,97.61051299446343,2019.4475271492133
57.5,0.4364,1,3,0,108.74611986283828,47.45680670814263,2066.904333857356
70.5,0.8727,1,2,0,108.62260255317663,94.79494524815725,2161.699279105513
69.5,1.3091,1,2,0,105.42826459110975,138.01614117622177,2299.715420281735
69.5,0.4364,1,5,0,105.42826459110975,46.0088946675603,2345.724314949295
55.5,0.4364,1,3,0,104.58082667726222,45.63907276195724,2391.3633877112525
68.5,0.4364,1,2,0,102.27020838718529,44.63071894016766,2435.99410665142
65.5,0.4364,1,7,0,101.25815726780507,44.189059831670136,2480.18316648309
67.5,1.7454,1,2,0,99.15257347844083,173.06090174927064,2653.244068232361
51.5,0.4364,1,3,0,96.10320511984746,41.93943871430143,2695.1835069466624
66.5,0.4364,1,2,0,96.0792719712957,41.928994288273444,2737.1125012349357
66.5,0.8727,1,5,0,96.0792719712957,83.84838064934976,2820.9608818842853
63.5,0.4364,1,7,0,95.98422827727407,41.887517220202405,2862.8483991044877
63.5,0.4364,1,1,0,95.12137738826411,41.510969092238454,2904.3593681967263
65.5,1.7454,1,2,0,93.05397172411416,162.41640224726888,3066.775770443995
62.5,0.4364,1,1,0,92.88197887339955,40.53369558035156,3107.3094660243464
61.5,0.8727,1,1,0,90.64950071000777,79.10981926962378,3186.41928529397
64.5,1.3091,1,2,0,90.08008226680869,117.92383569547924,3304.3431209894493
60.5,0.8727,1,1,0,88.42614392598175,77.16949580420427,3381.5126167936537
63.5,0.8727,1,2,0,87.16074351754577,76.0651808677622,3457.577797661416
63.5,0.8727,1,5,0,87.16074351754577,76.0651808677622,3533.642978529178
62.5,1.3091,1,2,0,84.29881730801351,110.35558173792049,3643.9985602670986
