dbh,n,cl,sp,time,ca_ind,ca_cohort,cumca
108.5,0.3615,1,5,0,214.2403684119225,77.44789318090999,77.44789318090999
104.5,0.3615,1,2,0,206.96576957001912,74.8181256995619,152.2660188804719
95.5,0.3615,1,2,0,186.52620614316362,67.42922352075365,219.69524240122556
92.5,0.3615,1,2,0,178.47807934598643,64.5198256835741,284.21506808479967
92.5,0.3615,1,5,0,178.47807934598643,64.5198256835741,348.73489376837375
87.5,0.3615,1,2,0,163.86185418612467,59.236060288284065,407.97095405665783
86.5,0.3615,1,2,0,160.78295318163273,58.12303757516023,466.0939916318181
85.5,0.3615,1,5,0,157.66018239242132,56.9941559348603,523.0881475666783
84.5,0.3615,1,2,0,154.49748257146447,55.850839949584405,578.9389875162627
84.5,0.3615,1,5,0,154.49748257146447,55.850839949584405,634.7898274658471
82.5,0.3615,1,5,0,148.06916509513204,53.52700318189023,688.3168306477373
81.5,0.3615,1,2,0,144.81247348749864,52.34970916573076,740.666539813468
81.5,0.3615,1,5,0,144.81247348749864,52.34970916573076,793.0162489791987
80.5,0.3615,1,2,0,141.53365831741445,51.164417481745325,844.180666460944
81.5,0.3615,1,6,0,140.8896059519414,50.931592551626814,895.1122590125709
79.5,0.3615,1,6,0,136.40966818795494,49.31209504994571,944.4243540625166
78.5,1.4461,1,2,0,134.92914521216318,195.12103689130916,1139.5453909538257
78.5,0.3615,1,5,0,134.92914521216318,48.77688599419699,1188.3222769480228
77.5,0.723,1,2,0,131.61342273835342,95.15650463982952,1283.4787815878524
77.5,0.3615,1,5,0,131.61342273835342,47.57825231991476,1331.0570339077672
77.5,0.3615,1,1,0,125.95636950833085,45.5332275772616,1376.5902614850288
75.5,1.0845,1,2,0,124.98036408463535,135.54120484978705,1512.1314663348157
74.5,0.3615,1,5,0,121.67317741464873,43.98485363539552,1556.1163199702112
63.5,0.3615,1,3,0,120.8232340585257,43.67759911215704,1599.7939190823681
73.5,0.3615,1,2,0,118.37892555096484,42.79398158667379,1642.5879006690418
61.5,0.3615,1,3,0,116.87685625233233,42.25098353521814,1684.83888420426
72.5,0.3615,1,2,0,115.10254758395652,41.60957095160028,1726.4484551558603
72.5,0.3615,1,5,0,115.10254758395652,41.60957095160028,1768.0580261074606
71.5,0.3615,1,2,0,111.84887475015863,40.433368222182345,1808.4913943296428
71.5,0.3615,1,5,0,111.84887475015863,40.433368222182345,1848.924762551825
70.5,0.3615,1,2,0,108.62260255317663,39.26707082297335,1888.1918333747985
70.5,0.3615,1,5,0,108.62260255317663,39.26707082297335,1927.458904197772
69.5,1.4461,1,2,0,105.42826459110975,152.4598134252038,2079.9187176229757
69.5,0.3615,1,5,0,105.42826459110975,38.112317649686176,2118.031035272662
54.5,0.3615,1,3,0,102.47772135346999,37.0456962692794,2155.076731541941
68.5,0.3615,1,2,0,102.27020838718529,36.97068033196748,2192.0474118739085
68.5,0.3615,1,5,0,102.27020838718529,36.97068033196748,2229.0180922058757
66.5,0.3615,1,1,0,101.85872366078996,36.82192860337557,2265.840020809251
65.5,0.3615,1,7,0,101.25815726780507,36.60482385231153,2302.444844661563
67.5,1.4461,1,2,0,99.15257347844083,143.38453650717327,2445.8293811687363
64.5,0.3615,1,1,0,97.36546761495703,35.19761654280696,2481.026997711543
51.5,0.3615,1,3,0,96.10320511984746,34.741308650824855,2515.768306362368
66.5,0.723,1,2,0,96.0792719712957,69.46531363524679,2585.233619997615
50.5,0.723,1,3,0,93.96142946591213,67.93411350385448,2653.1677335014692
62.5,0.3615,1,7,0,93.353248203767,33.74719922566177,2686.914932727131
65.5,0.723,1,2,0,93.05397172411416,67.27802155653454,2754.1929542836656
65.5,0.3615,1,5,0,93.05397172411416,33.63901077826727,2787.831965061933
62.5,0.3615,1,1,0,92.88197887339955,33.57683536273394,2821.408800424667
49.5,0.3615,1,3,0,91.81364385612085,33.19063225398769,2854.5994326786545
64.5,0.723,1,2,0,90.08008226680869,65.12789947890268,2919.727332157557
64.5,0.3615,1,5,0,90.08008226680869,32.56394973945134,2952.2912818970085
60.5,0.723,1,1,0,88.42614392598175,63.9321020584848,3016.2233839554933
60.5,0.3615,1,7,0,88.12130169021498,31.855850561012712,3048.079234516506
63.5,0.723,1,5,0,87.16074351754577,63.01721756318559,3111.0964520796915
46.5,0.3615,1,3,0,85.34931525540541,30.853777464829058,3141.9502295445204
62.5,1.8076,1,2,0,84.29881730801351,152.37854216596523,3294.328771710486
62.5,0.723,1,5,0,84.29881730801351,60.948044913693764,3355.2768166241794
58.5,0.3615,1,1,0,84.01540933716343,30.37157047538458,3385.648387099564
45.5,0.3615,1,3,0,83.19262428560742,30.074133679247083,3415.722520778811
58.5,0.723,1,7,0,82.9527796818046,59.974859709944724,3475.6973804887557
61.5,0.723,1,2,0,81.4968816826616,58.92224545656433,3534.61962594532
61.5,0.723,1,5,0,81.4968816826616,58.92224545656433,3593.5418714018842
44.5,0.3615,1,3,0,81.03752205545386,29.29506422304657,3622.836935624931
60.5,1.8076,1,2,0,78.7572278948555,142.36156514274083,3765.1985007676717
60.5,0.723,1,5,0,78.7572278948555,56.94147576798053,3822.1399765356523
55.5,0.3615,1,1,0,77.52022985419298,28.02356309229076,3850.163539627943
59.5,0.723,1,2,0,76.08185998481984,55.00718476902475,3905.1707243969677
59.5,0.3615,1,5,0,76.08185998481984,27.503592384512373,3932.6743167814802
58.5,0.723,1,2,0,73.47249679121111,53.12061518004563,3985.794931961526
53.5,0.3615,1,1,0,73.29332735991942,26.49553784061087,4012.2904698021366
40.5,0.3615,1,3,0,72.46331357428627,26.19548785710449,4038.485957659241
52.5,0.3615,1,1,0,71.21620072922875,25.74465656361619,4064.230614222857
57.5,1.4461,1,2,0,70.93057622057518,102.57270627257375,4166.803320495431
57.5,0.3615,1,5,0,70.93057622057518,25.641403303737924,4192.444723799169
39.5,0.3615,1,3,0,70.33876866435222,25.427464872163327,4217.872188671332
51.5,1.0845,1,1,0,69.16547352406157,75.00995603684477,4292.882144708176
56.5,1.0845,1,2,0,68.45726157702464,74.24190018028322,4367.12404488846
56.5,0.3615,1,5,0,68.45726157702464,24.747300060094407,4391.871344948555
38.5,0.3615,1,3,0,68.22473800010525,24.663242787038048,4416.534587735593
52.5,0.3615,1,7,0,68.08616838061039,24.613149869590654,4441.1477376051835
37.5,0.723,1,3,0,66.1226305139632,47.806661861595394,4488.954399466779
55.5,0.3615,1,2,0,66.05344973824404,23.87832208037522,4512.8327215471545
55.5,0.723,1,5,0,66.05344973824404,47.75664416075044,4560.589365707905
49.5,0.3615,1,1,0,65.149208136686,23.55143874141199,4584.140804449317
36.5,0.3615,1,3,0,64.03382249484267,23.148226831885623,4607.289031281203
54.5,1.8076,1,2,0,63.71978095324953,115.17987605109386,4722.468907332297
54.5,1.0845,1,5,0,63.71978095324953,69.10410244379912,4791.573009776096
48.5,0.3615,1,1,0,63.186421412059154,22.841891340459384,4814.4149011165555
35.5,0.3615,1,3,0,61.95965415044208,22.39841497538481,4836.813316091941
53.5,0.723,1,2,0,61.45665003190556,44.43315797306772,4881.246474065008
53.5,0.723,1,5,0,61.45665003190556,44.43315797306772,4925.679632038076
