dbh,n,cl,sp,time,ca_ind,ca_cohort,cumca
89.5,0.3544,1,2,0,169.87350997126208,60.20317193381528,60.20317193381528
87.5,0.3544,1,2,0,163.86185418612467,58.07264112356258,118.27581305737786
90.5,0.3544,1,3,0,163.24979567703448,57.85572758794102,176.13154064531886
82.5,0.3544,1,2,0,148.06916509513204,52.47571210971479,228.60725275503364
81.5,0.3544,1,2,0,144.81247348749864,51.32154060396952,279.9287933590032
84.5,0.3544,1,4,0,139.92647633328863,49.58994321251749,329.51873657152066
79.5,1.0633,1,2,0,138.23756547587757,146.98800337050062,476.5067399420213
72.5,0.3544,1,3,0,137.36023243000776,48.68046637319475,525.187206315216
69.5,0.3544,1,3,0,132.08925786497926,46.81243298734865,571.9996393025647
77.5,0.7089,1,2,0,131.61342273835342,93.30075537921874,665.3003946817835
77.5,0.3544,1,5,0,131.61342273835342,46.643797018472455,711.9441917002559
76.5,0.7089,1,2,0,128.2954678692139,90.94865717248572,802.8928488727416
66.5,0.3544,1,3,0,126.57036484320363,44.85653730043137,847.749386173173
75.5,0.3544,1,2,0,124.98036408463535,44.29304103159477,892.0424272047677
74.5,0.7089,1,2,0,121.67317741464873,86.25411546924448,978.2965426740122
73.5,0.3544,1,2,0,118.37892555096484,41.953491215261934,1020.2500338892742
73.5,0.3544,1,5,0,118.37892555096484,41.953491215261934,1062.203525104536
71.5,0.3544,1,7,0,116.91493307988257,41.43465228351038,1103.6381773880464
72.5,0.7089,1,2,0,115.10254758395652,81.59619598226678,1185.2343733703133
71.5,1.4177,1,2,0,111.84887475015863,158.5681497332999,1343.802523103613
69.5,0.3544,1,6,0,111.75204549416603,39.60492492313244,1383.4074480267454
68.5,0.3544,1,7,0,109.14433989637949,38.68075405927689,1422.0882020860224
70.5,1.4177,1,2,0,108.62260255317663,153.99426363963852,1576.082465725661
70.5,0.3544,1,5,0,108.62260255317663,38.4958503448458,1614.5783160705068
67.5,0.3544,1,7,0,106.52374421433876,37.752014949561655,1652.3303310200686
69.5,1.4177,1,2,0,105.42826459110975,149.46565071081628,1801.795981730885
69.5,0.3544,1,5,0,105.42826459110975,37.363776971089294,1839.1597587019742
66.5,0.3544,1,7,0,103.8938142976203,36.819967787076635,1875.9797264890508
68.5,0.3544,1,2,0,102.27020838718529,36.244561852418464,1912.2242883414692
67.5,0.3544,1,2,0,99.15257347844083,35.13967204075943,1947.3639603822287
64.5,0.3544,1,7,0,98.62041184039353,34.95107395623547,1982.315034338464
52.5,0.3544,1,3,0,98.23748484102717,34.815364627660024,2017.1303989661242
64.5,0.3544,1,1,0,97.36546761495703,34.50632172274077,2051.636720688865
66.5,0.7089,1,2,0,96.0792719712957,68.11059590045151,2119.7473165893166
66.5,0.3544,1,5,0,96.0792719712957,34.050493986627195,2153.797810575944
62.5,0.3544,1,7,0,93.353248203767,33.08439116341502,2186.882201739359
61.5,0.3544,1,1,0,90.64950071000777,32.126183051626754,2219.008384790986
64.5,0.3544,1,2,0,90.08008226680869,31.924381155356997,2250.932765946343
64.5,0.7089,1,5,0,90.08008226680869,63.85777031894067,2314.7905362652837
60.5,0.3544,1,4,0,88.42614392598175,31.33822540736793,2346.1287616726518
63.5,2.1266,1,2,0,87.16074351754577,185.3560371644128,2531.4847988370648
59.5,0.3544,1,1,0,86.21407335159333,30.554267595804674,2562.0390664328693
46.5,0.3544,1,3,0,85.34931525540541,30.247797326515677,2592.286863759385
62.5,0.7089,1,2,0,84.29881730801351,59.759431589650774,2652.046295349036
62.5,0.7089,1,5,0,84.29881730801351,59.759431589650774,2711.805726938687
58.5,0.3544,1,1,0,84.01540933716343,29.77506106909072,2741.5807880077773
45.5,0.3544,1,3,0,83.19262428560742,29.48346604681927,2771.0642540545964
57.5,0.3544,1,1,0,81.83221984022194,29.001338711374654,2800.065592765971
61.5,1.7722,1,2,0,81.4968816826616,144.42877371801288,2944.494366483984
61.5,1.0633,1,5,0,81.4968816826616,86.65563429317406,3031.150000777158
57.5,0.3544,1,7,0,80.40075854827506,28.494028829508682,3059.6440296066667
56.5,0.7089,1,1,0,79.66651294288562,56.475591025211614,3116.119620631878
43.5,0.7089,1,3,0,78.88553208708157,55.92195369653212,3172.04157432841
60.5,1.0633,1,2,0,78.7572278948555,83.74256042059984,3255.7841347490103
55.5,0.3544,1,1,0,77.52022985419298,27.47316946032599,3283.2573042093363
59.5,0.7089,1,2,0,76.08185998481984,53.93443054323878,3337.191734752575
54.5,0.3544,1,1,0,75.39523844550196,26.720072505085895,3363.9118072576607
55.5,0.3544,1,7,0,75.37711892989638,26.713650948755276,3390.625458206416
58.5,0.3544,1,2,0,73.47249679121111,26.03865286280522,3416.6641110692212
54.5,0.3544,1,7,0,72.9114581642136,25.8398207733973,3442.5039318426184
57.5,0.3544,1,2,0,70.93057622057518,25.137796212571843,3467.64172805519
57.5,0.3544,1,5,0,70.93057622057518,25.137796212571843,3492.7795242677616
56.5,1.7722,1,2,0,68.45726157702464,121.31995896680307,3614.0994832345646
56.5,0.3544,1,5,0,68.45726157702464,24.26125350289753,3638.360736737462
52.5,0.7089,1,7,0,68.08616838061039,48.2662847650147,3686.627021502477
50.5,0.3544,1,4,0,67.14266755526495,23.7953613815859,3710.4223828840627
55.5,1.0633,1,2,0,66.05344973824404,70.23463310667488,3780.6570159907374
49.5,0.3544,1,1,0,65.149208136686,23.088879363641517,3803.7458953543787
49.5,0.3544,1,4,0,65.149208136686,23.088879363641517,3826.83477471802
36.5,0.3544,1,3,0,64.03382249484267,22.69358669217224,3849.5283614101922
50.5,0.3544,1,7,0,63.41851680107652,22.475522354301518,3872.003883764494
48.5,0.7089,1,1,0,63.186421412059154,44.79285413900873,3916.7967379035026
48.5,0.3544,1,4,0,63.186421412059154,22.393267748433765,3939.190005651936
53.5,0.7089,1,2,0,61.45665003190556,43.56661920761785,3982.756624859554
47.5,0.7089,1,1,0,61.255532341463905,43.42404687686376,4026.180671736418
47.5,0.3544,1,4,0,61.255532341463905,21.708960661814807,4047.8896323982326
49.5,0.3544,1,7,0,61.14920940691363,21.671279813810187,4069.5609122120427
46.5,0.7089,1,1,0,59.357663336020664,42.078647538905045,4111.639559750948
52.5,1.0633,1,2,0,59.264218695622034,63.0156437390549,4174.655203490003
52.5,0.7089,1,5,0,59.264218695622034,42.01240463332646,4216.66760812333
45.5,0.7089,1,1,0,57.49383352320851,40.75737858460251,4257.4249867079325
51.5,0.7089,1,5,0,57.142428862421795,40.50826782057081,4297.933254528503
47.5,0.7089,1,7,0,56.748755934844986,40.22919308221161,4338.1624476107145
32.5,0.7089,1,3,0,55.83778167821147,39.58340343168411,4377.7458510423985
50.5,0.3544,1,2,0,55.09101664711428,19.5242562997373,4397.270107342136
50.5,0.3544,1,5,0,55.09101664711428,19.5242562997373,4416.794363641873
46.5,0.3544,1,7,0,54.620672713530965,19.357566409675375,4436.151930051548
31.5,0.3544,1,3,0,53.83474402695376,19.079033283152413,4455.2309633347
49.5,0.7089,1,2,0,53.109526868039595,37.64934359675327,4492.880306931454
49.5,0.7089,1,5,0,53.109526868039595,37.64934359675327,4530.529650528207
45.5,1.0633,1,7,0,52.542401786230144,55.86833581929851,4586.397986347505
42.5,0.3544,1,1,0,52.11522260571221,18.46963489146441,4604.867621238969
30.5,0.3544,1,3,0,51.85240065896508,18.376490793537226,4623.244112032507
48.5,0.3544,1,2,0,51.1973278651447,18.144332995407282,4641.388445027914
48.5,0.7089,1,5,0,51.1973278651447,36.293785723601076,4677.682230751515
44.5,1.0633,1,7,0,50.51499006350372,53.712588934523495,4731.394819686038
41.5,0.3544,1,1,0,50.395682632251685,17.860229924869998,4749.255049610908
29.5,0.3544,1,3,0,49.89181550124525,17.681659413641317,4766.93670902455
47.5,0.3544,1,2,0,49.35362644942087,17.490925213674757,4784.4276342382245
47.5,1.0633,1,5,0,49.35362644942087,52.47771100366921,4836.905345241894
40.5,1.4177,1,1,0,48.71374332677382,69.06147391436724,4905.966819156261
43.5,0.3544,1,7,0,48.539296576590516,17.20232670674368,4923.169145863005
