dbh,n,cl,sp,time,ca_ind,ca_cohort,cumca
112.5,1,1,5,0,220.46991154988805,220.46991154988805,220.46991154988805
111.5,1,1,5,0,219.00597289187002,219.00597289187002,439.47588444175807
85.5,1,1,5,0,157.66018239242132,157.66018239242132,597.1360668341794
71.5,1,1,5,0,111.84887475015863,111.84887475015863,708.984941584338
68.5,1,1,2,0,106.34370416587072,106.34370416587072,815.3286457502087
50.5,2,1,3,0,93.96142946591213,187.92285893182427,1003.251504682033
49.5,1,1,3,0,91.81364385612085,91.81364385612085,1095.0651485381538
64.5,1,1,5,0,90.08008226680869,90.08008226680869,1185.1452308049625
48.5,1,1,3,0,89.66135115604803,89.66135115604803,1274.8065819610106
46.5,1,1,3,0,85.34931525540541,85.34931525540541,1360.155897216416
43.5,1,1,3,0,78.88553208708157,78.88553208708157,1439.0414293034976
55.5,1,1,2,0,77.52022985419298,77.52022985419298,1516.5616591576907
39.5,1,1,3,0,70.33876866435222,70.33876866435222,1586.900427822043
38.5,1,1,3,0,68.22473800010525,68.22473800010525,1655.1251658221481
37.5,1,1,3,0,66.1226305139632,66.1226305139632,1721.2477963361114
35.5,2,1,3,0,61.95965415044208,123.91930830088415,1845.1671046369956
34.5,3,1,3,0,59.901426374046366,179.7042791221391,2024.8713837591347
52.5,1,1,5,0,59.264218695622034,59.264218695622034,2084.1356024547567
33.5,1,1,3,0,57.86039773103437,57.86039773103437,2141.996000185791
51.5,1,1,5,0,57.142428862421795,57.142428862421795,2199.138429048213
31.5,1,1,3,0,53.83474402695376,53.83474402695376,2252.9731730751664
30.5,1,1,3,0,51.85240065896508,51.85240065896508,2304.8255737341315
48.5,4,1,5,0,51.1973278651447,204.7893114605788,2509.61488519471
29.5,2,1,3,0,49.89181550124525,99.7836310024905,2609.3985161972005
28.5,4,1,3,0,47.95399876467205,191.8159950586882,2801.2145112558887
46.5,3,1,5,0,47.57748282039458,142.73244846118374,2943.9469597170723
27.5,2,1,3,0,46.03990544843964,92.07981089687928,3036.0267706139516
44.5,1,1,5,0,44.22346479619834,44.22346479619834,3080.25023541015
26.5,1,1,3,0,44.15043411049679,44.15043411049679,3124.4006695206467
37.5,1,1,2,0,43.897224136072815,43.897224136072815,3168.2978936567197
43.5,1,1,5,0,42.64310876264411,42.64310876264411,3210.941002419364
25.5,1,1,3,0,42.2864259021103,42.2864259021103,3253.2274283214742
42.5,1,1,5,0,41.1253747680508,41.1253747680508,3294.352803089525
41.5,2,1,5,0,39.668803393347275,79.33760678669455,3373.6904098762197
40.5,1,1,5,0,38.271870520444615,38.271870520444615,3411.9622803966645
