"","Tree_ID","PLOTID","DBH20","DBH24","SP","Status","cl"
"1","P81.B5.0",81,48.7,49.7,"Car_bet","1 - Nein",1
"2","P81.B15.0",81,111.6,112,"Que_rob","1 - Nein",1
"3","P81.B17.0",81,84.3,85.5,"Que_rob","1 - Nein",1
"4","P81.B24.0",81,110,111.5,"Que_rob","1 - Nein",1
"5","P81.B27.0",81,12.2,13.8,"Ulm_spe","1 - Nein",1
"6","P81.B29.0",81,86.5,0,"Fra_exc","4 - zu THL",1
"7","P81.B39.0",81,14.9,29,"Ulm_spe","1 - Nein",1
"8","P81.B41.0",81,13.2,13.5,"Ace_pse","1 - Nein",1
"9","P81.B43.0",81,11.3,16.3,"Ulm_spe","1 - Nein",1
"10","P81.B47.1",81,16.5,20.5,"Ulm_spe","1 - Nein",1
"11","P81.B48.1",81,13,0,"Ulm_spe","2 - zu THS",1
"12","P81.B51.0",81,33.3,34.9,"Que_rob","1 - Nein",1
"13","P81.B62.0",81,32.1,33.7,"Que_rob","1 - Nein",1
"14","P81.B63.0",81,10.1,11.4,"Ace_pla","1 - Nein",1
"15","P81.B64.0",81,35.7,36.8,"Til_spe","1 - Nein",1
"16","P81.B65.0",81,49.8,51.9,"Que_rob","1 - Nein",1
"17","P81.B66.0",81,28.4,29.9,"Til_spe","1 - Nein",1
"18","P81.B67.0",81,43.1,44.1,"Que_rob","1 - Nein",1
"19","P81.B69.0",81,6,6.9,"Til_spe","1 - Nein",1
"20","P81.B81.0",81,50.2,51.5,"Que_rob","1 - Nein",1
"21","P81.B94.0",81,70,70.6,"Que_rob","1 - Nein",1
"22","P81.B96.0",81,14.9,18,"Til_spe","1 - Nein",1
"23","P81.B108.0",81,38.4,38.5,"Car_bet","1 - Nein",1
"24","P81.B109.0",81,29.7,30.3,"Car_bet","1 - Nein",1
"25","P81.B110.0",81,27.8,28.2,"Car_bet","1 - Nein",1
"26","P81.B111.0",81,34.3,35.5,"Car_bet","1 - Nein",1
"27","P81.B113.0",81,39.8,41,"Que_rob","1 - Nein",1
"28","P81.B114.0",81,27.2,27.5,"Que_rob","1 - Nein",1
"29","P81.B115.0",81,31.7,32.3,"Que_rob","1 - Nein",1
"30","P81.B116.0",81,41.2,42.6,"Que_rob","1 - Nein",1
"31","P81.B117.0",81,44.5,45.9,"Que_rob","1 - Nein",1
"32","P81.B119.0",81,5,5.5,"Fra_exc","1 - Nein",1
"33","P81.B120.0",81,6.3,9.3,"Ulm_spe","1 - Nein",1
"34","P81.B122.0",81,37.5,39.1,"Que_rob","1 - Nein",1
"35","P81.B123.0",81,12.2,13.5,"Til_spe","1 - Nein",1
"36","P81.B124.0",81,6.7,7.3,"Ulm_spe","1 - Nein",1
"37","P81.B125.0",81,6.3,8.1,"Car_bet","1 - Nein",1
"38","P81.B126.0",81,37.7,40.6,"Que_rob","1 - Nein",1
"39","P81.B128.0",81,16.8,20.3,"Til_spe","1 - Nein",1
"40","P81.B131.1",81,7.7,9.4,"Til_spe","1 - Nein",1
"41","P81.B131.2",81,6.8,9.4,"Til_spe","1 - Nein",1
"42","P81.B132.0",81,36.7,37.6,"Que_rob","1 - Nein",1
"43","P81.B133.0",81,10.6,10.6,"Til_spe","1 - Nein",1
"44","P81.B134.0",81,6.1,7.5,"Til_spe","1 - Nein",1
"45","P81.B135.0",81,8.8,11.3,"Til_spe","1 - Nein",1
"46","P81.B136.0",81,8.2,11.4,"Til_spe","1 - Nein",1
"47","P81.B137.0",81,24.7,25.3,"Que_rob","1 - Nein",1
"48","P81.B138.0",81,12.5,17.5,"Ulm_spe","1 - Nein",1
"49","P81.B139.0",81,31.1,31.8,"Que_rob","1 - Nein",1
"50","P81.B140.0",81,11.1,12.5,"Til_spe","1 - Nein",1
"51","P81.B142.0",81,7.4,7.4,"Ace_pse","1 - Nein",1
"52","P81.B143.0",81,45.3,47.7,"Que_rob","1 - Nein",1
"53","P81.B145.1",81,5.8,8.1,"Til_spe","1 - Nein",1
"54","P81.B146.0",81,28.1,30.7,"Que_rob","1 - Nein",1
"55","P81.B148.0",81,44.5,45.8,"Car_bet","1 - Nein",1
"56","P81.B150.0",81,46.4,48.4,"Que_rob","1 - Nein",1
"57","P81.B152.0",81,46,48.2,"Que_rob","1 - Nein",1
"58","P81.B153.0",81,33.2,33.9,"Que_rob","1 - Nein",1
"59","P81.B157.0",81,16.6,0,"Ulm_spe","2 - zu THS",1
"60","P81.B160.0",81,29.7,31.5,"Que_rob","1 - Nein",1
"61","P82.B13.0",82,31.2,31.6,"Que_rob","1 - Nein",1
"62","P82.B16.0",82,30.7,30.7,"Que_rob","1 - Nein",1
"63","P82.B17.0",82,39.4,40.1,"Que_rob","1 - Nein",1
"64","P82.B18.0",82,54.1,54.9,"Fra_exc","1 - Nein",1
"65","P82.B20.0",82,46.7,49.2,"Car_bet","1 - Nein",1
"66","P82.B21.0",82,27.5,27.2,"Car_bet","1 - Nein",1
"67","P82.B22.0",82,33.3,34.7,"Car_bet","1 - Nein",1
"68","P82.B23.0",82,17.9,18.1,"Car_bet","1 - Nein",1
