dbh,n,rel_freq,time
7.5,177.2171,0.38971339477544165,0
12.5,81.1651,0.17848800515462784,0
17.5,53.1652,0.11691417236776423,0
22.5,32.607899999999994,0.07170716260167964,0
27.5,20.911499999999993,0.045985921532666126,0
32.5,14.531699999999999,0.03195627362629388,0
37.5,9.2151,0.020264680463652616,0
42.5,11.3418,0.02494144967310775,0
47.5,13.113999999999999,0.028838647393988174,0
52.5,6.3797,0.014029427999041204,0
57.5,7.7973,0.017146834324015862,0
62.5,10.2785,0.02260317502204571,0
67.5,5.6706,0.012470065114560726,0
72.5,6.0252,0.01324985651046649,0
77.5,3.1898999999999997,0.007014823953186127,0
82.5,1.0632,0.0023380547437309917,0
87.5,0.7088,0.0015587031624873279,0
92.5,0.3544,7.793515812436639e-4,0
2.5,121.9807266571168,0.243973318435615,5
7.5,87.46935925248462,0.17494722668977128,5
12.5,101.00567319946629,0.20202117126721764,5
17.5,54.64461795760594,0.1092945512223319,5
22.5,29.865567196888495,0.05973403943123354,5
27.5,24.63464068181259,0.04927167758645388,5
32.5,11.581920385816018,0.02316496735035454,5
37.5,9.738342290678085,0.01947763183438949,5
42.5,9.412272374141263,0.018825460284345105,5
47.5,10.05141839490245,0.020103814495894864,5
52.5,8.964285053150894,0.01792944206643162,5
57.5,6.14363831091605,0.01228787421635609,5
62.5,8.652348410489404,0.01730553843888795,5
67.5,3.2793495890296906,0.006559018161902093,5
72.5,7.085802976427773,0.014172295192169854,5
77.5,2.917220366005131,0.005834724491376906,5
82.5,1.6227729576916916,0.0032457037632552983,5
87.5,0.2911756675273565,5.823796578458064e-4,5
92.5,0.634551845508696,0.0012691654141672379,5
2.5,121.9807266571168,0.22270460542173526,10
7.5,122.44546377841644,0.223553092720182,10
12.5,112.0642277446338,0.20459969624475138,10
17.5,58.18402193302981,0.10622866416322488,10
22.5,34.47713545443133,0.0629461477880356,10
27.5,19.69247826838011,0.0359532667391256,10
32.5,16.170566359240567,0.029523185335693734,10
37.5,8.241029932139657,0.015045945122665761,10
42.5,8.189500224013695,0.014951865478854917,10
47.5,8.270195962207051,0.015099194594085421,10
52.5,8.41836779706878,0.015369717248949198,10
57.5,6.680593577391063,0.012197000275445168,10
62.5,6.393728406153492,0.011673260201742513,10
67.5,5.408282383800531,0.009874095910899765,10
72.5,4.68081249945878,0.008545927945447881,10
77.5,3.1658869353580203,0.005780073787645361,10
82.5,2.1323900066461303,0.0038931812266562757,10
87.5,0.31774736492804206,5.80122806851365e-4,10
92.5,0.8111561465154512,0.0014809569880079015,10
2.5,121.9807266571168,0.20508449458928368,15
7.5,141.25370457708436,0.23748788358578926,15
12.5,125.36164267050148,0.21076878153244036,15
17.5,68.9112991854459,0.11585960628570775,15
22.5,41.735365172217065,0.07016908742397585,15
27.5,21.065925056983193,0.03541784601358631,15
32.5,14.740855347551841,0.024783594520339982,15
37.5,10.878009851255266,0.018289046258536744,15
42.5,5.951870908706567,0.010006797554206328,15
47.5,8.016933429821647,0.013478758371660998,15
52.5,7.302281126686262,0.012277223420917723,15
57.5,5.026834856698114,0.008451547340487819,15
62.5,5.6801962229632394,0.00955003469383258,15
67.5,5.605564417558585,0.009424557280218515,15
72.5,4.353084624777919,0.007318780471659659,15
77.5,3.1278628612192763,0.005258832207492182,15
82.5,2.1170280038932687,0.003559329658940674,15
87.5,0.9581481905021091,0.0016109211903870646,15
92.5,0.39310431280939895,6.609207989062231e-4,15
97.5,0.3223465753079692,5.419568016302215e-4,15
2.5,121.9807266571168,0.19038029154635527,20
7.5,146.33494364256777,0.22839091057723346,20
12.5,156.02683017400523,0.24351743288985986,20
17.5,76.46070681207219,0.11933534135798994,20
22.5,42.69856829334252,0.0666413957604034,20
27.5,23.276464824386057,0.03632852730818322,20
32.5,16.957764666947064,0.026466674447208717,20
37.5,9.817797614445652,0.015323036871515667,20
42.5,8.111514698729685,0.012659971583605953,20
47.5,5.726795352915484,0.008938042908852865,20
52.5,6.941641472971173,0.010834102760752974,20
57.5,6.0809977373905095,0.009490861006193124,20
62.5,3.15486238061739,0.004923922297158447,20
67.5,6.323080199732468,0.009868688971495156,20
72.5,2.7303417091142577,0.0042613555833578,20
77.5,4.352147069418578,0.006792573307565087,20
82.5,1.4496066384881798,0.002262460160929122,20
87.5,1.103690473169277,0.001722574703539385,20
92.5,0.5797049586626232,9.04769155469029e-4,20
97.5,0.6132131801016428,9.570668023316549e-4,20
2.5,121.9807266571168,0.17803207976905272,25
7.5,145.69335577173985,0.2126408970286458,25
12.5,171.40358318822314,0.2501652288122914,25
17.5,92.70090192921413,0.1352978853234442,25
22.5,49.91096892434769,0.07284555391990487,25
27.5,34.23803107392416,0.04997074575905996,25
32.5,12.45399450937937,0.018176728444729364,25
37.5,13.431098821961639,0.0196028218751228,25
42.5,5.307901923591751,0.0077469354754992475,25
47.5,6.965602988117261,0.010166366612210143,25
52.5,6.106002359944426,0.008911770974043684,25
57.5,5.030352235456403,0.007341848954274585,25
62.5,4.241734420099304,0.006190853435075817,25
67.5,3.79205399441606,0.0055345403960425305,25
72.5,3.667915433759548,0.005353358936160433,25
77.5,3.8312161382481014,0.0055916979331855216,25
82.5,2.139862060011444,0.0031231498893559023,25
87.5,1.035821780181119,0.0015117921564289027,25
92.5,0.3534828187941904,5.159116781576023e-4,25
97.5,0.7664898810335762,0.0011186995796960994,25
102.5,0.11040216045606234,1.611330476185739e-4,25
2.5,121.9807266571168,0.16783593341722464,30
7.5,146.11668783696854,0.20104512707065472,30
12.5,188.92597595898008,0.2599473571834601,30
17.5,98.93874490769038,0.13613196984297576,30
22.5,66.86937081364918,0.09200702090485975,30
27.5,31.53263375423559,0.04338643623694827,30
32.5,18.62429946900485,0.025625578493305178,30
37.5,10.969260285695288,0.015092843676208318,30
42.5,8.763783896278715,0.012058280769496986,30
47.5,4.344477387198465,0.005977660877034443,30
52.5,5.5902134558355625,0.007691696213607942,30
57.5,5.025722191055239,0.006915000411519542,30
62.5,3.689020915572797,0.005075804069451339,30
67.5,3.0117512162740487,0.004143933967738214,30
